,Paises,Divisa,Codigo
150,MAURITANIA,Ouguiya,MRU
151,MAURITIUS,Mauritius Rupee,MUR
152,MAYOTTE,Euro,EUR
153,MEMBER COUNTRIES OF THE    AFRICAN DEVELOPMENT BANK GROUP,ADB Unit of Account,XUA
154,MEXICO,Mexican Peso,MXN
155,MEXICO,Mexican Unidad de Inversion (UDI),MXV
156,MICRONESIA (FEDERATED STATES    OF),US Dollar,USD
157,MOLDOVA (THE REPUBLIC OF),Moldovan Leu,MDL
158,MONACO,Euro,EUR
159,MONGOLIA,Tugrik,MNT
160,MONTENEGRO,Euro,EUR
161,MONTSERRAT,East Caribbean Dollar,XCD
162,MOROCCO,Moroccan Dirham,MAD
163,MOZAMBIQUE,Mozambique Metical,MZN
164,MYANMAR,Kyat,MMK
165,NAMIBIA,Namibia Dollar,NAD
166,NAMIBIA,Rand,ZAR
167,NAURU,Australian Dollar,AUD
168,NEPAL,Nepalese Rupee,NPR
169,NETHERLANDS (THE),Euro,EUR
170,NEW CALEDONIA,CFP Franc,XPF
171,NEW ZEALAND,New Zealand Dollar,NZD
172,NICARAGUA,Cordoba Oro,NIO
173,NIGER (THE),CFA Franc BCEAO,XOF
174,NIGERIA,Naira,NGN
175,NIUE,New Zealand Dollar,NZD
176,NORFOLK ISLAND,Australian Dollar,AUD
177,NORTHERN MARIANA ISLANDS    (THE),US Dollar,USD
178,NORWAY,Norwegian Krone,NOK
179,OMAN,Rial Omani,OMR
180,PAKISTAN,Pakistan Rupee,PKR
181,PALAU,US Dollar,USD
182,"PALESTINE, STATE OF",No universal currency,ILS
183,PANAMA,Balboa,PAB
184,PANAMA,US Dollar,USD
185,PAPUA NEW GUINEA,Kina,PGK
186,PARAGUAY,Guarani,PYG
187,PERU,Nuevo Sol,PEN
188,PHILIPPINES (THE),Philippine Peso,PHP
189,PITCAIRN,New Zealand Dollar,NZD
190,POLAND,Zloty,PLN
191,PORTUGAL,Euro,EUR
192,PUERTO RICO,US Dollar,USD
193,QATAR,Qatari Rial,QAR
194,RÉUNION,Euro,EUR
195,ROMANIA,Romanian Leu,RON
196,RUSSIAN FEDERATION (THE),Russian Ruble,RUB
197,RWANDA,Rwanda Franc,RWF
198,SAINT BARTHÉLEMY,Euro,EUR
199,"SAINT HELENA, ASCENSION AND    TRISTAN DA CUNHA",Saint Helena Pound,SHP
200,SAINT KITTS AND NEVIS,East Caribbean Dollar,XCD
201,SAINT LUCIA,East Caribbean Dollar,XCD
202,SAINT MARTIN (FRENCH PART),Euro,EUR
203,SAINT PIERRE AND MIQUELON,Euro,EUR
204,SAINT VINCENT AND THE    GRENADINES,East Caribbean Dollar,XCD
205,SAMOA,Tala,WST
206,SAN MARINO,Euro,EUR
207,SAO TOME AND PRINCIPE,Dobra,STN
208,SAUDI ARABIA,Saudi Riyal,SAR
209,SENEGAL,CFA Franc BCEAO,XOF
210,SERBIA,Serbian Dinar,RSD
211,SEYCHELLES,Seychelles Rupee,SCR
212,SIERRA LEONE,Leone,SLL
213,SINGAPORE,Singapore Dollar,SGD
214,SINT MAARTEN (DUTCH PART),Netherlands Antillean Guilder,ANG
215,"SISTEMA UNITARIO DE    COMPENSACION REGIONAL DE PAGOS ""SUCRE""",Sucre,XSU
216,SLOVAKIA,Euro,EUR
217,SLOVENIA,Euro,EUR
218,SOLOMON ISLANDS,Solomon Islands Dollar,SBD
219,SOMALIA,Somali Shilling,SOS
220,SOUTH AFRICA,Rand,ZAR
221,SOUTH GEORGIA AND THE SOUTH    SANDWICH ISLANDS,No universal currency,GBP
222,SOUTH SUDAN,South Sudanese Pound,SSP
223,SPAIN,Euro,EUR
224,SRI LANKA,Sri Lanka Rupee,LKR
225,SUDAN (THE),Sudanese Pound,SDG
226,SURINAME,Surinam Dollar,SRD
227,SVALBARD AND JAN MAYEN,Norwegian Krone,NOK
228,SWAZILAND,Lilangeni,SZL
229,SWEDEN,Swedish Krona,SEK
230,SWITZERLAND,WIR Euro,CHE
231,SWITZERLAND,Swiss Franc,CHF
232,SWITZERLAND,WIR Franc,CHW
233,SYRIAN ARAB REPUBLIC,Syrian Pound,SYP
234,TAIWAN (PROVINCE OF CHINA),New Taiwan Dollar,TWD
235,TAJIKISTAN,Somoni,TJS
236,"TANZANIA, UNITED REPUBLIC OF",Tanzanian Shilling,TZS
237,THAILAND,Baht,THB
238,TIMOR-LESTE,US Dollar,USD
239,TOGO,CFA Franc BCEAO,XOF
240,TOKELAU,New Zealand Dollar,NZD
241,TONGA,Pa’anga,TOP
242,TRINIDAD AND TOBAGO,Trinidad and Tobago Dollar,TTD
243,TUNISIA,Tunisian Dinar,TND
244,TURKEY,Turkish Lira,TRY
245,TURKMENISTAN,Turkmenistan New Manat,TMT
246,TURKS AND CAICOS ISLANDS    (THE),US Dollar,USD
247,TUVALU,Australian Dollar,AUD
248,UGANDA,Uganda Shilling,UGX
249,UKRAINE,Hryvnia,UAH
250,UNITED ARAB EMIRATES (THE),UAE Dirham,AED
251,UNITED KINGDOM OF GREAT    BRITAIN AND NORTHERN IRELAND (THE),Pound Sterling,GBP
252,UNITED STATES MINOR OUTLYING    ISLANDS (THE),US Dollar,USD
253,UNITED STATES OF AMERICA    (THE),US Dollar,USD
254,UNITED STATES OF AMERICA    (THE),US Dollar (Next day),USN
255,URUGUAY,Uruguay Peso en Unidades Indexadas (URUIURUI),UYI
256,URUGUAY,Peso Uruguayo,UYU
257,UZBEKISTAN,Uzbekistan Sum,UZS
258,VANUATU,Vatu,VUV
259,VENEZUELA (BOLIVARIAN REPUBLIC OF),Bolivar,VEF
260,VENEZUELA (BOLIVARIAN REPUBLIC OF),Bolivar,VED
261,VIET NAM,Dong,VND
262,VIRGIN ISLANDS (BRITISH),US Dollar,USD
263,VIRGIN ISLANDS (U.S.),US Dollar,USD
264,WALLIS AND FUTUNA,CFP Franc,XPF
265,WESTERN SAHARA,Moroccan Dirham,MAD
266,YEMEN,Yemeni Rial,YER
267,ZAMBIA,Zambian Kwacha,ZMW
268,ZIMBABWE,Zimbabwe Dollar,ZWL
